addr1,cat1,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,modifiedtime,sigungucode,archive_picture,lDongRegnCd,lDongSignguCd,usetime,overview,spot_code,parking_fee,cat2,title,past_image_url,past_image,이동_대중교통,이동_자차,활동_산책,동반_아이,동반_반려동물,청결_시설,뷰_야경_경관,휴식_조용함,유명,정보_구성_체험,볼거리_재미
인천광역시 서구 건지로334번길 47,A02,A02020700,2768217,12,2021-11-04,,,,126.6794142,37.49404901,2025-03-27,7,0,28,260,상시 개방,"건지공원은 인천광역시 서구 가좌동에 위치한 아름다운 공원으로, 지역 주민들에게 여가와 휴식을 제공하는 중요한 공간이다. 이 공원은 넓은 잔디밭과 잘 정돈된 산책로를 갖추고 있어, 자연 속에서 편안한 시간을 보내기에 적합하다. 특히, 공원 중앙에 위치한 큰 호수는 주변 경관을 더욱 아름답게 만들어, 산책이나 운동을 즐기기에 좋은 장소이다. 또한, 건지공원은 다양한 운동 시설과 어린이 놀이터를 구비하고 있어, 가족 단위 방문객들에게도 인기가 많다. 공원 내에는 벤치와 쉼터가 곳곳에 마련되어 있어, 여유롭게 시간을 보내기 좋다.",2768217,-1,A0202,건지공원,,0,1,0,1,1,1,1,1,1,0,0,0
인천광역시 서구 시천동 162-134,A02,A02020700,2767580,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/27/3395627_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/3395627_image3_1.JPG,Type3,126.6753791,37.57026785,2025-03-17,7,0,28,260,상시 개방,"인천 앞바다와 한강을 연결하는 경인아라뱃길의 검암공원은 인천 검암역 뒤쪽에 위치해 있다. 운하 양쪽으로 자전거길이 조성돼 있어 한강변을 따라 자전거 타는 사람들과 산책을 즐기는 사람들에게 인기 있으며 휴식을 취할 수 있는 나무 평상과 그네가 있어 피크닉을 즐기는 사람들도 많이 찾는다. 운동시설로 축구장, 농구장, 배드민턴장이 있다. 저녁이 되면 시천교와 백석교의 야경이 장관을 이룬다. 주변 관광지로 시천교 수상무대, 매화 동산, 봉수 마당이 있다.",2767580,0,A0202,경인아라뱃길 검암공원,,0,0,1,1,1,0,0,1,1,1,0,1
인천광역시 계양구 장기서로 29,A02,A02020700,2767474,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/84/2789584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2789584_image2_1.jpg,Type3,126.7337376,37.57450173,2025-03-26,2,0,28,245,상시 개방,"경인아라뱃길 다남공원은 하늘 전망대 등 아라뱃길을 조망할 수 있는 다양한 전망공간과 축구장, 농구장, 배드민턴장, 게이트볼장, 운동기구 등의 체육시설이 조성되어 있는 공원이다. 특히 아라뱃길을 따라 2.5㎞산책로와 자전거도로가 잘 조성되어 있다. 넓은 주차장과 화장실 등의 편의 시설을 갖추고 있어 노지 캠핑이나 차박을 하는 사람들에게 인기가 많은 지역이다. 다만, 텐트 설치 및 야영, 취사는 금지되어 있다.",2767474,0,A0202,경인아라뱃길 다남공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 서구 시천동,A02,A02020700,3061214,12,2023-11-28,http://tong.visitkorea.or.kr/cms/resource/67/3001567_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3001567_image3_1.jpg,Type3,126.6754679,37.57290088,2025-04-30,7,0,28,260,상시 개방,"시천공원은 검암역 인근, 아라뱃길 건너편 시천교 북측에 위치한 공원으로 아라뱃길을 바라보며 휴식할 수 있는 곳이다. 아라뱃길 자전거길과 인접해 있어 많은 이들이 찾는 명소이며, 아라뱃길 수향 8경 중 제3경인 시천가람터와도 가까이 있다. 공원 전체는 고요한 분위기를 지니며, 아담한 산책로들이 곳곳에 조성되어 있다. 아라뱃길을 상징하는 배 모양의 놀이터가 있는 돛단배 녹지, 250년 된 보호수 산수유와 300년이 넘는 보호수 은행나무가 있는 노거수 길은 산책과 휴식에 안성맞춤이다. 이 외에도 아라뱃길과 시천공원을 한눈에 조망할 수 있는 전망대, 각종 행사가 펼쳐지는 문화광장, 여름철 더위를 식혀줄 바닥분수, 풍차, 카페 등 다양한 편의시설이 마련되어 있다. 자전거길을 따라 자전거를 대여해 아라뱃길의 아름다운 풍경을 감상하며 라이딩을 즐길 수도 있다.",3061214,0,A0202,경인아라뱃길 시천공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 계양구 주부토로 570,A02,A02020700,2463907,12,2016-12-20,http://tong.visitkorea.or.kr/cms/resource/46/3069146_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/3069146_image3_1.jpg,Type3,126.7289833,37.54503007,2025-05-27,2,0,28,245,상시 개방,"인천광역시 계양구에 자리하고 있는 계산국민체육공원은 넓은 인조 잔디 구장을 비롯하여 농구장, 각종 운동시설, 걷기 운동을 위한 트랙 등 구민들이 운동을 할 수 있는 다양한 체육시설을 갖추고 있다. 넓은 인조잔디구장에서는 해마다 국악제가 펼쳐져 구민들 축제의 장이 되기도 한다. 곳곳에 펼쳐진 녹지공원과 그늘막 벤치, 어린이 놀이터가 있어 운동하다 휴식을 취할 수 있는 공간들도 잘 갖추어져 있으며, 노약자들이나 산책하는 사람들을 위해 산책로도 잘 조성되어 있어, 도심에서 운동과 휴식을 동시에 할 수 있는 장소로 많은 사람이 찾고 있다. 인천지하철 1호선 계양역에서 가까워 교통이 편리하고 주변에 계양산과 계양산성 등 관광지가 있어 지역주민들이 많이 찾고 있다.",2463907,1,A0202,계산국민체육공원,,0,0,1,1,1,0,1,1,0,1,0,1
인천광역시 계양구 계양산로75번길 26 계양공원관리소,A02,A02020700,1114780,12,2010-10-21,http://tong.visitkorea.or.kr/cms/resource/80/3351680_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3351680_image3_1.jpg,Type3,126.7234003,37.55018493,2025-03-14,2,0,28,245,상시 개방,"인천광역시 계양산 자락에 있는 계양공원은 규모가 큰 산지형 공원으로 휴게시설, 체육시설 등 다양한 편익시설이 마련되어 있으며, 특히, 장미원은 36종 11,360주의 장미가 식재되어 있어 봄철 명소로 자리 잡고 있다. 아울러, 인천의 대표적인 계양산과 계양공원 산책로가 연결되어 도심에서 자연을 느끼고자 하는 시민들에게 많은 사랑을 받고 있는 공원이다.",1114780,0,A0202,계양공원,,0,0,1,1,1,0,1,1,0,0,0,1
인천광역시 계양구 서운동 106-1번,A02,A02020700,2675002,12,2020-10-07,http://tong.visitkorea.or.kr/cms/resource/39/3352139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3352139_image3_1.jpg,Type3,126.7438989,37.53251513,2025-03-14,2,0,28,245,상시 개방,"인천광역시 계양구에 위치한 계양꽃마루에서는 가을의 대표적인 꽃인 ‘코스모스’로 가득한 꽃밭을 볼 수 있다. 코스모스 꽃밭은 황화코스모스와 분홍빛의 혼합코스모스로 매년 9~10월 중이 가장 예쁘다. 가을의 풀벌레 소리를 들으며, 코스모스가 피어있는 산책로를 따라 가족 단위로 함께 와도 좋은 여행지이다. 또한 5~6월에는 노랗게 물든 유채꽃밭을 볼 수 있다. 계양꽃마루 이용 시 꽃밭 출입 및 훼손은 금지하고 있다.",2675002,0,A0202,계양꽃마루,,0,0,1,1,0,0,0,0,0,0,0,0
인천광역시 강화군 송해면 당산리 388-7,A02,A02020700,2765284,12,2021-11-01,http://tong.visitkorea.or.kr/cms/resource/86/2780186_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/86/2780186_image2_1.png,Type3,126.4631004,37.80382577,2025-03-26,1,0,28,710,상시 개방,"인천광역시 강화군 송해면 1만 2천㎡에 민통선 안보 관광코스 조성사업의 하나로 2019년에 개장한 역사 테마공원이다. 강화천도는 고려-몽골 전쟁 때 항전하기 위해 고려 고종이 1232년 도읍을 강화도로 옮긴 일이다. 이후 38년간 고려의 임시수도였던 강화도의 역사를 천도문을 시작으로 고종사적비까지 강화 해안가를 따라 돌아볼 수 있다. 천도문을 지나 천도문 광장에 들어서면, 고려 시대 대몽 항쟁을 위해 개경에서 강화도로 천도하던 모습을 볼 수 있다. 그 외 팔만대장경과 상정고금예문 등에 대한 자료와 강화도에 흩어져 있는 역사문화 유적지들을 소개하고 있다. 정자 및 전통연못, 폭포 등이 있어 여유롭게 산책과 휴식하기에도 좋다.",2765284,0,A0202,고려천도공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 남동구 남동대로 263 (논현동),A02,A02020700,2768092,12,2021-11-04,,,,126.6997148,37.408326,2025-03-26,4,0,28,200,상시 개방,"남동공단근린공원은 인천광역시 남동구 논현동에 위치한 시민들의 휴식처이자 자연과 가까운 공원이다. 이 공원은 넓은 녹지와 다양한 시설을 갖추고 있어, 가족 단위 방문객들에게 인기 있는 장소이다. 산책로와 운동기구가 마련되어 있어 건강을 챙기며 여유로운 시간을 보낼 수 있다. 특히, 공원 내에는 꽃과 나무가 아름답게 배치되어 사계절 내내 자연을 즐기기에 좋다. 또한, 주변의 공단과는 또 다른 차원의 평화로운 분위기를 제공하며, 시민들에게 중요한 쉼터 역할을 한다. 남동공단근린공원은 바쁜 일상 속에서 잠시나마 편안한 시간을 보낼 수 있는 이상적인 공간이다.",2768092,0,A0202,남동공단근린공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 중구 서해대로94번길 93 (신흥동3가),A02,A02020700,2754462,12,2021-10-07,,,,126.6272262,37.43371344,2025-05-07,10,0,28,110,상시 개방,"남항근린공원은 인천환경공단 남항사업소에서 조성된 공원이다. 하수처리시설을 지하에 설치해 상부 공간 약 165,289㎡ (5만 평)을 공원으로 조성했다. 넓은 공간과 시설을 깨끗하게 관리하고 있는 대형 공원이다. 물을 형상화한 체험 및 놀이 구조물이 있는 환경 놀이터, 팔레트 모양의 팔레트공원, 생태연못과 나무다리, 데크 산책로와 해양 산책로, 하늘공원 등으로 구성되어 있다. 역사의 현장이었던 갯골을 따라 산책로와 자전거길이 조성되어 있으며, 운동시설로는 인조잔디구장, 족구장, 농구장이 있다.",2754462,0,A0202,남항근린공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 서구 로봇랜드로 291,A02,A02020700,2767605,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/44/2780444_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/44/2780444_image2_1.png,Type3,126.6133331,37.53084356,2025-03-12,7,0,28,260,상시 개방,"인천 청라지구 서쪽 끝에 위치한 약 19만㎡ 규모의 공원이다. 과거 바다와 섬이었던 곳으로 지구 내 유일한 보존 숲이 입지 하여 생태적 가치가 높은 곳이다. 아래로는 심곡천이 흐르고 위로는 공촌천이 흐르는 자연환경과 잘 어우러진 공원으로 잔디와 피크닉장을 갖추고 있어 가족 단위로도 많이 찾는다. 특히 규모가 큰 스케이트 플라자를 조성해 놓아 자전거, 숏 보드, 인라인스케이트 등 익스트림을 즐기는 청소년들에게 인기가 많은데 기초 수준에서부터 최상위급 수준까지 모두 연습할 수 있는 다양한 시설들로 꾸며져 있다. 공원 언덕 위 전망대에서는 청라국제도시의 모습을 한눈에 볼 수 있으며 바다 쪽으로는 영종도도 볼 수 있고, 해 질 녘이면 멋진 노을을 감상할 수 있다.",2767605,0,A0202,노을공원(인천),,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 남동구 논현동,A02,A02020700,2767575,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/82/3448482_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/82/3448482_image3_1.jpeg,Type1,126.7059143,37.40515147,2025-03-26,4,0,28,200,상시 개방,"인천광역시 남동구 논현동에 위치해 있는 논현포대(論峴砲臺)는 1879년(고종 16년)에 쌓은 포대로 인천과 부평 연안의 군사방어시설이다. 인천광역시 유형문화재 제6호로 등록되어 있다. 논현포대 근린공원은 이러한 포대가 있던 군사시설에 조성된 공원이다 어린이 놀이터와 산책로가 있으며, 체육시설로는 농구장, 테니스장, 배드민턴장, X-GAME 장이 있고, 문화 시설로 야외공연장이 있다. 겨울철에는 한시적으로 무료 야외 얼음 썰매장을 운영하기도 한다. 수인 분당선 호구포역 2번 출구를 통해 쉽게 이용할 수 있다.",2767575,0,A0202,논현포대근린공원,,0,0,1,1,1,0,1,1,0,0,0,1
인천광역시 남동구 앵고개로 771,A02,A02020700,2718720,12,2021-05-28,,,,126.7217549,37.39181164,2024-05-21,4,0,28,200,"* 공원 : 상시<br>
* 양떼목장 관람 <br>
(4~9월) 09:30 ~ 17:30<br>
(10~3월) 09:30 ~ 17:00<br>
※ 우천시  관람 불가","인천 남동구 논현동에 위치한 늘솔길공원은 자연친화공원으로써, 양떼목장, 장미원, 숲속놀이터, 다양한 숲길 등으로 조성되었다. 양떼목장은 2014년 7마리의 면양을 들여오면서 시작되었다. 공원에 양떼들을 개방하자 시민들은 큰 호응을 보냈고 지금은 양의 숫자가 총 30마리 가까이 늘면서 명실공히 양떼목장이 되었다. 
장미원에는 5월부터 연중 다양한 장미를 만나볼 수 있다. 이밖에 편백숲, 메타세쿼이아 숲과 은행나무숲, 계수나무숲 등의 숲길과 숲속 휴식처들이 잘 조성되어 있다. 유아숲 체험원도 있고 저수지도 있어 시민들이 건강과 휴식을 위해 많이 찾는 공원이다.",2718720,0,A0202,늘솔길공원,,0,0,1,1,1,0,1,1,0,1,0,1
인천광역시 남동구 앵고개로815번길 59,A02,A02020700,2767582,12,2021-11-03,,,,126.7197911,37.39456961,2025-03-14,4,0,28,200,"10:00~16:30<br>
※ 우천 시 관람 불가","늘솔길 공원은 인천시가 친환경 공원 잔디를 관리할 목적으로 2014년 7마리의 면양을 들여오면서 시작되었다. 공원에 양떼들을 개방하자 시민들은 큰 호응을 보냈고 지금은 양의 숫자가 총 30마리 가까이 늘면서 명실공히 양떼목장이 되었다. 늘 솔길 공원은 편백숲, 메타세쿼이아 숲과 은행나무숲, 계수나무숲 등의 숲길과 숲 속 휴식처들이 잘 조성되어 있다. 유아숲 체험원도 있고 저수지도 있어 시민들이 건강과 휴식을 위해 많이 찾는 공원이다. 소래 도서관에서 350m 거리이고 공원 주차장에서 200m 거리에 위치해 있다.",2767582,0,A0202,늘솔길공원양떼목장,,0,1,1,1,1,1,1,1,1,1,1,1
인천광역시 서구 국제대로 29,A02,A02020700,2767598,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/76/2780476_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/76/2780476_image2_1.png,Type3,126.6234846,37.54225353,2025-03-27,7,0,28,260,상시 개방,"늘 푸른 공원은 공촌천을 따라 길게 조성된 공원으로, 약 1km의 산책코스를 이용할 수 있으며 서해바다를 조망할 수 있는 공촌천 전망대와 여름철 물놀이 시설로도 유명하다. 특히 여름철에 운영되는 물놀이장은 워터파크급의 수준 높은 시설임에도 무료로 이용이 가능하여 인기가 많은 놀이공간이다. 게이트볼장과 배드민턴장 등 다양한 체육시설과 운동시설이 있어 산책과 운동을 즐기는 시민들이 자주 찾는 공원이다.",2767598,0,A0202,늘푸른공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 서구 검단로540번길 41 (마전동),A02,A02020700,2767603,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/04/2780504_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/04/2780504_image3_1.png,Type3,126.6669179,37.60140297,2025-03-27,7,0,28,260,상시 개방,"인천광역시 서구 마전동에 자리한 만수산 자락에 조성된 공원이다. 자연환경을 최대한 살려 산책로와 운동시설을 잘 갖춰놓았으며, 인조 잔디 축구장은 주변으로 계단식 관람석과 그늘막을 설치에 불편 없이 경기를 즐길 수 있게 배려해 놓았다. 축구장은 서구시설관리공단 홈페이지를 통한 승인된 단체에 대하여 온라인 예약으로 이용이 가능하다. 체육시설 옆으로 조성된 산책로를 따라 올라가면 등산로와 이어져 있어 만수산 진입이 가능하며 사계절 내내 아름다운 자연의 변화를 감상할 수 있다.",2767603,0,A0202,능내근린공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 연수구 송도동 1,A02,A02020700,2767888,12,2021-11-04,http://tong.visitkorea.or.kr/cms/resource/78/2781378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2781378_image2_1.jpg,Type3,126.659766,37.39534347,2025-07-10,8,0,28,185,상시,"인천 연수구 송도 2동 인천 포스코 고등학교 인근에 있는 2,928,692㎡ 규모의 자연 생태공원이다. 송도 국제도시와 아암호수 물줄기를 따라 공원이 조성되어 천변 산책로를 따라 산책하기 좋으며 가을철에는 해바라기 꽃밭이 조성된다. 산책로와 유슈 수지, 조류생태공원, 습지 생태공원, 자연학습원이 있으며, 조경 시설로 인공식물섬 4개소, 운동 시설로 테니스장 17면, 농구장 2개소, 배드민턴장 1개소, 족구장 1개소, 체력단련시설, 다목적운동장 2개소가 조성되어 있다.",2767888,-1,A0202,달빛축제공원,,0,0,1,1,1,0,1,1,0,1,0,1
인천광역시 연수구 함박뫼로 162,A02,A02020700,2767612,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/11/2780711_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2780711_image2_1.jpg,Type3,126.6850185,37.4218825,2025-03-27,8,0,28,185,상시 개방,"인천 연수구 가천대학교 메디컬캠퍼스 인근에 있는 103,616㎡ 규모의 공원으로 산책하기 좋은 곳으로 소문나있는 공원이다. 유천아파트 입구 대학공원 배드민턴장을 시작으로 등산로를 따라 산책하다 보면 공원을 만난다. 작은 산 안에 있는 공원이어서 산책로도 있고 운동기구와 약수터, 배드민턴장, 농구장 등 작지만 알찬 공원으로, 정상에는 넓은 잔디밭이 펼쳐져 있고 둘레에는 흙길이 형성되어 있다. 정상까지도 쉽게 올라갈 수 있고 아이들이 마음껏 뛰어놀 수 있는 넓은 잔디밭이 있어 가족 단위로 많이 찾고 있다. 주변 관광지로는 문화공원, 원인재가 있다.",2767612,0,A0202,대학공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 중구 영종해안남로321번길 186,A02,A02020300,2715100,12,2021-04-30,,,,126.4557445,37.43734611,2025-03-27,10,0,28,110,"- 평일 11:00~20:00<br>
- 주말 10:00~21:00","일상에서 벗어난 힐링 저니(Healing Journey)를 통해 평화로운 휴식을 제공하고, 동서양의 전통 치유요법을 현대적으로 재해석한 공간으로 아름다움과 건강을 동시에 선사한다. 더 스파 앳 파라다이스는 시간과 나이를 되돌릴 수 있는 공간에 대한 경험을 제공한다. 파라다이스의 축복인 나이를 되돌리는 페이셜트리트먼트 (Age Reverse Facial Treatment)와 시간을 되돌리는 바디트리트먼트(Time Reverse Body Treatment)를 경험하고, 파라다이스를 현실로 다가오게 하는 파라다이스 저니(Paradise Journey)로 여행을 떠날 수 있다.",2715100,0,A0202,더 스파 앳 파라다이스,,0,0,1,0,0,0,1,0,0,0,0,0
인천광역시 연수구 컨벤시아대로 153 (송도동),A02,A02020300,3346627,12,2024-08-12,http://tong.visitkorea.or.kr/cms/resource/17/3346617_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3346617_image3_1.jpg,Type3,126.6454396,37.39027713,2025-03-18,8,0,28,185,11:00~21:00,"인천광역시 연수구에 위치한 더스파하스타는 고급스러운 스파와 웰니스 서비스를 제공하는 시설이다. 이곳은 현대적인 시설과 함께 자연 친화적인 환경을 갖추고 있어, 일상에서 벗어나 편안하고 여유로운 시간을 보낼 수 있는 최적의 장소이다. 다양한 테마의 스파, 찜질방, 사우나 등은 물론, 트리트먼트와 마사지를 통해 몸과 마음을 치유할 수 있는 프로그램이 마련되어 있다. 또한, 탁월한 서비스와 청결을 자랑하며, 고객들에게 최상의 휴식을 제공하는 것을 목표로 한다. 아늑하고 세련된 인테리어와 고급스러운 분위기가 어우러져 방문객들에게 특별한 경험을 선사하는 더스파하스타는 스트레스를 해소하고 몸과 마음의 균형을 찾고 싶은 이들에게 완벽한 선택이다.",3346627,0,A0202,더 스파 하스타,,0,0,1,0,0,0,1,0,0,0,0,0
인천광역시 중구 용유서로 379,A02,A02020200,2721496,12,2021-06-16,http://tong.visitkorea.or.kr/cms/resource/72/2721672_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2721672_image3_1.jpg,Type3,126.3711713,37.45118192,2025-03-19,10,0,28,110,,"THE WEEK&은 당신의 시간에 유니크함과 에너지를 더하기 위해 만들어진 공간이다. 주중이든 주말이든 상관없이 THE WEEK& 안에선 특별한 순간을 선물처럼 맞닥뜨릴 수 있다. 리조트를 감싸고 있는 나지막한 산과 아름답게 펼쳐진 서해 바다, 머리칼과 피부에 닿는 해풍, 바다 위에 내려앉은 불같은 낙조까지. 오감으로 느껴지는 자연과, 자연의 4원소를 컬러와 심볼로 자연스럽게 녹여낸 THE WEEK& 안에서 근사한 삶을 만끽해볼 수 있다.<br/>
어반 라이프스타일 부띠끄 리조트 '더위크앤리조트'는 지하 2층, 지상 10층 규모에 총 191개의 객실을 보유하고 있다. 올데이 모던 다이닝, 다양한 회의 및 연회 시설, 칵테일바, 카페, 워터파크, 엔터테인먼트존을 오션뷰와 함께 경험할 수 있다. 특별한 여행을 더 특별하게 만드는 맞춤형 룸 타입이 준비되어 있으며, 주말이 가족을 위한 공간이라면, 더위크앤의 주중은 비즈니스와 업무를 위해 최적화된 장소를 제공한다. 편안하고 쾌적한 장소에서 능률을 최대화 하기 위해 만들어진 효율적인 서비스가 좋은 결과를 이끌어 낼 것이다. 다양한 규모의 연회장을 보유하고 있으며, 오션뷰와 함께하는 THE BOARD ROOM까지 있다. 원스탑 비즈니스 공간으로 장시간 업무에 집중할 수 있는 공간도 제공한다.<br/>
엔터테인먼트 시설로는 워터 슬라이드와 유수풀, 야외 수영장이 포함된 워터파크, 국내 최초로 도입된 블랙라이트 미니골프, 키즈 플레이룸, 루프탑 바다 전망대 등이 있으며, 바다를 보며 즐길 수 있는 모던다이닝 퓨전 레스토랑 'WE CAN DINE', 조식 및 연회 뷔페 레스토랑 'THE FIVE', 로비 카페&바 'WE CAN BAR'로 구성된 식음시설은 유명 5성 호텔 총괄 출신의 쉐프가 함께 하고 있다.",2721496,2,A0202,더위크앤리조트 (THE WEEK & RESORT),,0,0,1,0,0,0,0,1,1,0,0,0
인천광역시 동구 송림동,A02,A02020700,3061207,12,2023-11-28,http://tong.visitkorea.or.kr/cms/resource/41/3001341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3001341_image3_1.jpg,Type3,126.6700905,37.47791739,2025-04-15,5,0,28,140,"[교통안전체험장] <br>
- 10:00~12:00<br>
- 14:00~15:00<br>
[교통공원] <br>
- 상시 개방","동구어린이교통공원은 아이들이 체험을 통해 교통질서와 문화, 안전수칙 등을 쉽게 배울 수 있도록 조성된 교육시설이다. 시설은 실내체험관과 실외 교통교육장으로 나뉘어 운영된다. 실내체험관에서는 횡단보도 건너기, 통학버스 체험, 자전거 및 킥보드 체험 등을 통해 다양한 안전사고 예방법을 배울 수 있으며, 관련된 3D 입체영상도 관람할 수 있다. 실외 교통교육장에는 실물과 동일하게 제작된 교통시설이 어린이의 눈높이에 맞춰 설치되어 있어, 보다 생생한 체험이 가능하다. 횡단보도와 자전거 트랙 등 실제 도로와 유사하게 조성된 체험 공간은 현장감 있는 교육환경을 제공한다. 이곳에서는 아이들이 횡단보도를 안전하게 건너는 방법, 교차로에서의 상황 대처 요령, 자전거 도로 이용법 등을 직접 체험하며 익힐 수 있다. 통행금지, 자전거 전용 도로, 교차로 등 다양한 교통안전표지판도 한눈에 보기 좋게 배치되어 있다. 또한, 모노레일을 타고 교통공원을 한 바퀴 둘러볼 수 있으며, 중간에 마련된 놀이터에서는 잠시 쉬어갈 수도 있다. 모든 교육 프로그램은 온라인 또는 전화 예약을 통해 운영된다.",3061207,0,A0202,동구 어린이 교통공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 동구 화도진로 53 (송현동),A02,A02020700,2768117,12,2021-11-04,,,,126.6319301,37.47652521,2025-03-27,5,0,28,140,상시 개방,"인천 동구 송현동에는 동인천역 북광장이, 중구 인현동에는 동인천역 남광장이 조성되어 있다. 인천 근대로 발자취 여행의 시작점이기도 한 북광장에는 사면으로 열린 광장문 건축물이 있다. 광장 주변으로 다양한 조각품들이 전시되어 있으며, 겨울이면 대형 크리스마스트리를 장식하여 시민들에게 멋진 야경을 선사한다. 동인천역 북광장에는 많은 시민들과 예술 애호가들이 소통하고 함께 즐길 수 있는 컨테이너형 복합 문화예술공간인 동인천 아트큐브가 있다. 안내소와 공연 연습실 2개 동, 전시동으로 이루어져 있으며, 누구나 예약하여 이용할 수 있다.",2768117,-1,A0202,동인천역 북광장,,0,1,0,1,0,1,0,0,0,1,0,0
인천광역시 서구 왕길동 581-15,A02,A02020700,2767760,12,2021-11-03,http://tong.visitkorea.or.kr/cms/resource/43/2780543_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/43/2780543_image3_1.png,Type3,126.6391626,37.58550433,2025-03-27,7,0,28,260,※ 시설별 상이하므로 홈페이지 참고,"드림파크 주민체육공원은 수도권매립지 주변영향권 지역주민들의 건강증진과 여가선용을 도모하기 위하여 건설된 공원이다. 인조잔디축구장, 인라인트랙, 배구, 농구, 테니스장 등의 운동시설뿐만 아니라 산책로, 어린이놀이터, 생태습지 및 친수경관연못 등 다양한 시설이 설치되어 있어 운동애호가 및 단체, 가족단위 이용객들에게 큰 인기를 얻고 있다. 다만 축구장은 영향권지역에 거주하는 주민만 이용이 가능하다. 축구장과 테니스장 이용을 하고 싶다면 수도권매입지관리공사에 직접 방문하여 서류 제출 및 단체 등록 신청을 해야 한다.",2767760,0,A0202,드림파크 주민체육공원,,0,0,1,1,1,0,0,1,0,0,0,0
인천광역시 연수구 신송로125번길 13 (송도동),A02,A02020600,2782697,12,2021-11-29,http://tong.visitkorea.or.kr/cms/resource/40/3437040_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3437040_image3_1.jpg,Type3,126.6511946,37.3946184,2025-06-26,8,0,28,185,"- 평일 12:00~21:00<br>
- 주말 11:00~21:00","마리앤쥬는 여우, 미어캣, 스컹크, 페럿, 고슴도치, 토끼, 돼지, 뱀, 거북이 등 40여 종의 동물이 함께 어우러져 살아가는 공간이다. 동물과 사람 모두 편안하고 안전하게 교감할 수 있도록, 마리앤쥬만의 차별화된 공간을 만들었다. 도심에서 쉽게 접하기 어려웠던 동물들을 가까이에서 만나 교감하고 동물이 성장하는 모습을 관찰할 수 있다. 올바른 교감 방법과 동물을 배려하는 방법 안내에서부터 마리앤쥬의 교감이 시작된다. 동물과 교감하며 생명의 소중함을 배우고, 동물을 사랑하고 배려하는 방법을 자연스럽게 익히게 된다.",2782697,0,A0202,마리앤쥬,,0,0,1,0,1,0,1,0,0,0,1,1
